Name,Task,Image,Time,Stage,Purpose,When,Why,Note,Output,Next
"
                      Collage                    ","
1. Set up a group session and a room.
2. Define the theme of the session and invite participants (minimum of 6-8).
3. Prepare the session, take care of magazines or other sources for images, scissors, markers, etc. Write down instructions for participants: what are they collaging and why?
4. Moderate the session, clearly communicating its purpose to participants. Create groups and start collaging.
5. Make sure explanations of why images and combinations are chosen are carefully documented. What is the story each collage is telling?
6. Collect and analyse the stories.
7. Create a summary with the most important findings. Include photos of the collages.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-34-wpcf_120x120.png,2 HOURS - 1 DAY,know-user,create,Collages are generally focused on uncovering emotional/experience aspects of design.,This method uncovers connections and visual stories regarding a theme.,"Have a selection of images that can be interpreted in different ways, among the materials.","A collection of collages, that give insights on perception and emotional journeys.",Try to sort the different collages and use them as input to gain insights.
"
                      Concept sketch                    ","
1. As a team: select a design problem to explore.
2. A team member works as moderator and briefs the design team.
3. Each individual designer generates 10 sketches in 30 minutes.
4. Each designer presents their ideas to the group.
5. As a group, vote on ideas that are the most promising: 2 votes per person.
6. Select the three ideas with the most votes.
7. Each designer explores these ideas by generating 10 sketches of developments ofthe existing ideas over 30 minutes.
8. The team votes, and selects the best idea.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-01-wpcf_120x120.png,2 HOURS - 4 HOURS,frame-insights,create,Ideation phase.,Quick way to iterate and refine concepts,"Good drawing skills will be needed, noteveryone might have them.",Sketch of numerous ideas and a selection of the best ones based on opinions of the design team.,"Build and test the selected concepts.
Refine concepts."
"
                      Cultural probes                    ","
1. Gather your team and decide on a specific target user you would like to understand better. Also decide what type of medium is necessary to uncover those insights.
2. Prepare the probe and if it includes different types of tools, divide preparation between team members. Also decide whether your probe is digital or physical, or a combination.
3. Hand out the probe to the targeted group of users. Make sure to give clear instructions on how to use it and when to hand it in.
4. Gather the probes and schedule a meeting with the team to go through them. Try and cluster insights in this meeting and prepare a summary.
5. Write a short report (document) summarizing the main insights and share this with the team.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-22-wpcf_120x120.png,1 WEEK - 2 WEEKS,know-user,research,When you need details about the user’s life and context.,Unobtrusive manner to collect information for the design process.,Good for long distance research with low budget. The open character of the data may cause interpretation issues.,Collection of data from the user’s life and context.,This method can’t stand alone and goes well with context mapping or follow up interviews.
"
                      Customer experience map                    ","
1. Identify the different aspects of the process a customer goes through. Write them down.
2. Place the facets on a timeline, in chronological order.
3. Add post-its on the aspects marking whether it is a positive or negative experience.
4. Sort the aspects from the most positive to most negative.
5. Collect the results.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-26-wpcf_120x120.png,4 HOURS - 1 DAY,ideation-concept,research,When there is a solution (even in a conceptual stage) that can be analyzed.,To identify what is hampering the experience.,"Use clear words such as engagement, exit, anticipation, etc.
The most negative facets are design opportunities.",Insight in which facets make an experience negative and which make it positive.,Improve negative facets and enhance positive aspects of an experience.
"
                      Dark side                    ","
1. Arrange a room where you can focus and work for a couple of hours.
2. Write down your design challenge and reframe it in the most negative way possible. For example, “How can we make our city more sustainable” becomes “How can we make our city the most polluted city of the world?”
3. On the left side of your challenge, list down as manysolutions as possible that solve your new design challenge. Write down each idea on a post it.
4. Randomly take a post it from the left side, and add another idea that transforms the first solution into a positive one.
5. Discuss all ideas with your group.
6. If you want you can cluster and select final ideas.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2018/03/DMT_icons-59-wpcf_120x120.png,1 HOUR - 4HOURS,ideation-concept,create,When you need a lot of ideas that bring a refreshing perspective on your design challenges.,Reframing your design challenge negatively forces you to look at your problem from another angle.,"Be sure that your positive idea really adds something new, eg. “Dog poo everywhere” becomes “Every first Sunday of the month is Puppy in the park day” instead of “No more dog poo everywhere”.","A collection of new, creative ideas.",Pick the best ideas and develop them further.
"
                      Day in the life                    ","
1. Based on your design question, define the activities that you want to understand better.
2. Find participants that are willing to be followed for some hours (or even an entire day).
3.Arrange/schedule to follow participants throughout their day/activities.
4. Make sure you have materials to capture the data that the participants feel comfortable with (audio/video recordings, note taking, etc.)
5. Follow participants and capture the information. Sometimes it help to ask participants to explain the reasoning they have for doing things in a certain way.
6. Go over the information that has been captured. Make storyboards that include a timeline of actions and explanatory text
7. Analyse the data to gather insights.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2017/03/DMT_icons-55-wpcf_120x120.png,1 DAY - 1 WEEK,know-user,research,When you need to understand how users go about their day and how your design could fit with their routines.,"Following a user allows you to see how they behave in the real world, which can be different from how they say they behave.",Make sure to have a balance between asking questions to understand and just observing the actions.,Storyboard(s) of users’ routines that allow you to understand how your design can fit in them.,Collect insights and design opportunities.
"
                      Design persona                    ","
1. Organise a session for the complete team, nd a quiet room, take care of markers and paper, sticky notes, etc.
2. In preparation, download the Design Persona template at the creator’s website: http:// aarronwalter.com/ and print a copy for each team member.
3. During the session, go through the template step by step, ll it in individually.
4. Discuss the different personalities in the group and try to nd common ground in how you think (as a team) what personality the design should have.
5. Work out the final design persona, give it a name, visualise it on a large piece of paper, hang it up on the wall as a reminder to take the personality into account when you make new design choices.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-30-wpcf_120x120.png,1 HOUR - 2 HOURS,frame-insights,create,When it is time to focus on product experience.,A Design Persona helps you target the personality the user will experience in your design.,"Take it seriously, since the method is as powerful as it is simple when applied well.","A large poster with your design’s personality sketched out, and a document with examples of how your design ‘talks, behaves and feels’.",Role playing is a fun way to test your design’s personality.
"
                      Dot voting                    ","
1. Select a group of people and invite them to a session. Arrange a location and materials for the session.
2. As moderator, list down the ideas you want to vote for, and explain them where needed.
3. Ask each participant to vote on their top 2 or 3 by using dots. Give them a limited number of dots, and they have to assign more to the idea they like the most.
4. Count votes and arrange them in popularity.
5. Discuss the reasons behind the hierarchy and see if the best idea(s) can be taken to the next level.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-10-wpcf_120x120.png,1 HOUR - 2 HOURS,frame-insights,create,When there are more ideas than can be feasible to develop further.,Allows for a consensus on which ideas need to be developed futher and the reasons behind that.,The group should contain at least 4 people and no more than 20.,A selection of the most popular ideas according to the group.,"Take the most promising ideas to the next level, kill your darlings."
"
                      Emoji story                    ","
1. Go through the collected data on context, the user and possible problems, etc.
2. Pick one specific scene that you feel is relevant and depicts an opportunity and design challenge.
3. Write a short story, first only with words.
4. Choose which elements and feelings should be highlighted and change them with Emoji’s.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2017/03/DMT_icons-57-wpcf_120x120.png,30 MINUTES - 2 HOURS,frame-insights,create,"After having collected data of user behaviour, context and emotions.",Helps to filter out the most important elements that influence a user’s experience.,"Make sure the story describes a user, context, event and the impact!",A short story with visualised emotions and concepts with Emoji’s.,Use the emotions and main elements to inspire your design direction.
"
                      Emotional journey                    ","
1. Organize a space, materials and participants for the session.
2. Define the activity for which you want to map out the emotional journey. For example, it could be a person’s ride on the subway while heading home.
3. Collect the internal insights of the team, based on previous research and experiences.
4. Map out the journey and mark the different touch points where the user comes in contact with the product/service/brand/organization.
5. If you have developed various personas, make sure that you develop a journey for each of them. Each experience will be different.
6. Use a line graph to mark underneath the journey to mark the moments users feel excited and moments where they feel frustrated.
7. Analyze the results of mapping the journey.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-45-wpcf_120x120.png,2 DAYS - 1 WEEK,frame-insights,create,When you need to identify how people feel during the experience of using your services.,Allows the design team to understand where to improve the experience.,Emotional journeys depend on good research.,"A mapped out overview of how someone feels while doing something.
A look inside the ‘emotional rollercoaster’.","Analyse the peaks and lows, improve where needed."
"
                      Empathy in action                    ","
1. Analyze data that the team has gathered.
2. Do a brainstorm on how to make people that are completely unfamiliar with the topic, quickly understand and empathize with the problem.
3. Develop a quick prototype of a physical experience and test it within your own team.
4. Collect feedback, and use what you have learned to refine the prototype you have created. Does it make people empathize with the problem?
5. Iterate on the prototype until it achieves your goal.
6. Present the prototype to your audience.
7. Record videos, take photos and analyze the data to gather insights.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2017/03/DMT_icons-56-1-wpcf_120x120.png,4 HOURS - 1 DAY,frame-insights,create,When you have collected enough data to understand a problem and need to let people unfamiliar with the problem empathize with it.,Sometimes stakeholders need to see the situation differently.,Make sure the message is clear and that the experience is not offensive.,A prototype that can be used to let people understand the problem.,Collect insights and design opportunities.
"
                      Empathy map                    ","
1. Gather your team and draw a circle to represent your target persona. Brief the team on the persona.
2. Divide the circle into sections, representing that persona’s sensory experience. Explain to the team what each of the circles mean.
3. Ask your team to describe their experience from the persona’s point of view. Moderate the discussion and collect all relevant information on the map.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-23-wpcf_120x120.png,4 HOURS - 1 DAY,frame-insights,create,After doing personas when more insights are needed.,Personas usually summarize lifestyle but not necessarily the (sensory) experience of the users.,Try to understand the persona’s point of view as much as possible.,Insight in the needs and desires of the persona.,"Collect insights and communicate them, this could be done using a moodboard."
"
                      Fishbone diagram                    ","
1. Prepare the six arms of the diagram on a whiteboard. 2. Define the problem clearly as a short statement in the head of the diagram. 3. Describe the causes of each bone and write them down at the end of each branch. Use the 4 Ms as categories: Machine, Man, Methods, Materials. 4. Minor causes are listed around the major causes. 5. Interpret the diagram once its finished.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-37-wpcf_120x120.png,2 HOURS - 4 HOURS,frame-insights,create,To analyze possible problems that can help make design decissions.,This method allows to get a clear overview of causes and effects.,"If there are branches that are too crowded, split them into different branches.",A diagram showing causes and effects.,Identify possibilities and opportunities for your design.
"
                      Focus group                    ","
1. Select a moderator and decide on a common thread. Plan the session, write the questions, procedure and agenda for the session.
2. Recruit participants (based on your target group and goals).
3. Arrange a room/space where the group can sit around a table and discuss according to your questions.
4. The moderator prepares the session and starts, manages and wraps up the conversation.
5. Assign someone to take notes and afterwards transcribe the session.
6. Analyze the session and summarize findings in a document.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-18-wpcf_120x120.png,4 HOURS - 1 DAY,know-user,research,When there is an already existing solution or to identify current opportunities in a specific field.,To get different views on a product or service.,The moderator has to keep the conversation close to the topic and ask relevant questions.,A (video) recording or a transcription of the conversation and a document with main findings and conclusions.,"Process the main findings by adjusting the product, design or service where needed."
"
                      Future workshop                    ","
1. Define the concept that will be the main objective of the workshop.
2. Recruit participants for the session and make sure everything has been arranged, (paper, pens, markers, meeting room, etc.)
3. Select a moderator to introduce the topic of the session and explain the objectives.
4. Ask participants to reflect on the present day situation and write down all their negative experiences.
5. Participants fantasize about the desired future situation. How would the ideal situation be for them? For this stage there are no limitations, everything is possible.
6. The ideas that were generated are tested for feasibility. It is important to note what barriers the ideas face and what could be done to overcome these barriers.
7. Develop an implementation plan.
8. Check if the implementation is coming along as planned.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-49-wpcf_120x120.png,1 DAY - 1 WEEK,ideation-concept,research,When ideas need to be developed outside of the design team.,"This method allows discovering what an ideal future looks like, this can be very useful with children and teenagers.",This method requires a lot of preparation by the facilitators and moderator.,Ideas generated by users that show what their ideal solution would look like.,Follow the development of the implementation plan.
"
                      Harris profile                    ","
1. Define and list the requirements that are important for the design concept to be successful.
2. Next to the list of requirements write a 4 point matrix for each concept you want to test. The scale of the matrix is -2, -1, +1, +2.
3. Go through the different concepts and rate each of them based on the requirements. How well do they solve each of the requirements? if they do it very well, mark them as +2, if they are very bad at it mark it as -2.
4. After rating all the concepts, step back and get an overview of the concepts. You can now proceed to filter them based on how well they fit within the different requirements. Make a selection of the most promising ones.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/05/DMT_icons-46-wpcf_120x120.png,2 HOURS - 4 HOURS,prototype-test,create,After an initial filtering of design concepts and before moving to prototyping a few of them.,You will need to rate your concepts to decide which ones to develop further.,"Use different colors for the positive and negative columns, this helps to quickly visualize the information.",A short list of concepts to develop and a clear overview on which concepts t the requirements.,Refine and prototype your most promising solutions.
"
                      Heuristic evaluation                    ","
1. Establish a list of panel experts, recruit and invite them to a location.
2. Select a moderator and introduce the topic of the session, establish a set of evaluative criteria.
3. Hand out current designs that are similar to your design problem. Each expert evaluates the interface individually, observe the behaviour of the experts and take notes.
4. Collect and aggregate all the results, cluster them in topics, similarities and differences.
5. Identify problems, opportunities and difficulties and list them in a report.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-15-wpcf_120x120.png,2 HOURS - 1 DAY,define-intentions,research,Early in the design process.,"Experts will have insights that someone who has little knowledge of the topic, might miss.",Experts might have professional bias and/ or strong opinions.,"Knowledge based on experience in the eld from the experts.
List of problems, sorted on priority.",Brainstorm on ways to solve the problems that have been identified.
"
                      Infographic                    ","
1. Collect and structure your information.
2. After looking at the character of the data, chose a way to display information that relates to the theme and allows a clear portrayal of the information.
3. Do quick sketches of possible ways to display the information, select the best one.
4. Polish the infographic, this can be done by arranging physical elements and taking a photo, doing a polished drawing by hand or using computer programs like Illustrator to have a finished product.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-36-wpcf_120x120.png,2 HOURS - 1 DAY,frame-insights,create,After collecting big amounts of complex information.,Using a clear design allows to gather quick insights on complex information.,"The aim is not to be arty, the aim is to clarify. An ideal infographic should give you more information by visualizing.","A visual representation of your data, giving you extra insights to extract.",Use the infograph as a presentation tool and to gain insights.
"
                      Literature review                    ","
1. As a team, make sure to know beforehand what is the specific thesis, problem, or research question that a literature review may help to define.
2. Organize yourself and others around specific tasks that relate to the specified questions from step (1). Each individual takes on one subject or direction.
3. Each individual identifies the scope of their literature review. What types of publications can you use (e.g., journals, books, government documents, popular media) and what area or discipline should you look into?
4. Each individual summarises their findings in a document, with reference to each source.
5. Organise a team meeting and discuss main findings. Make sure to develop a general summary of this discussion. The other information is not discarded, but archived elsewhere (for possible later reference).



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-32-wpcf_120x120.png,1 DAY - 1 WEEK,define-intentions,research,"Throughout the whole project, but mostly at the beginning of the project.","It is a solid way to back up assumptions around your concept, building on academic work by others.","Make sure to follow through a set of concepts and questions, comparing items.",A research document which holds relevant and in-depth information about the problem at hand.,Test literature findings in your project context if necessary.
"
                      Lotus blossom                    ","
1. Draw a square in the middle of your paper and write down the central theme in it.
2. Think of 8 related ideas and write them around the square using a new square for each.
3. Take each of the 8 previous themes and create 8 new themes around it. Write them in new squares.
4. Blossom as far as you think is relevant.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-21-wpcf_120x120.png,2 HOURS - 4 HOURS,ideation-concept,create,When there is a need to generate a big number of ideas quickly.,Using the  first 8 ideas as basis can help to expand these ideas further.,"Be free in thinking, don’t restrict yourself to anything.",A map of different ways to explore an idea.,Filter the ideas to see which ones are useful.
"
                      Mash-up                    ","
 
1. Divide the wall in four sections:  human needs, global goals challenges, technology and mash-up.
2. Starting with human needs, write down as many ideas that you have, one per post it (for example, love, waking up, sporting, eating. Use max five minutes per section.
3. Move on to the global goals challenges. Depending on the goal(s) you are working on, list as many issues related to the goal.
4. Move on to technology. List as many technological innovations or existing technologies you can think of.
5. Randomly pick one post it from each category and combine them into one idea. Write your idea on a post-it and attach it to the rest. Post all four post-its on the wall.
6. Discuss all ideas with your group.
7.  Cluster your ideas into themes and select the best ones.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2018/03/DMT_icons-60-wpcf_120x120.png,1 HOUR - 4HOURS,ideation-concept,create,When you need to spark up your creativity with a little bit of craziness.,Random combinations can sometimes lead to better innovation.,"Go crazy! The final idea does not need to be something you can create right away, but it might have an element that you can use for the rest of your process. Realistically look at what could be useful and inspiring for the future.",New combinations of existing services and ideas.,"Cluster and select ideas, by using dot voting for example."
"
                      Mind map                    ","
1. Write the key word of the topic/concept you want to explore in the center of a piece of paper.
2. Start exploring related topics and ideas, write down or draw these ideas by creating branches and adding the new elements on nodes.
3. Arrange nodes around the main idea, and group related ideas by using colors.
4. Make the branches thicker to show the strength of relationships within the concepts.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-02-wpcf_120x120.png,2 HOURS - 4 HOURS,ideation-concept,create,Whenever the project needs to organize information.,Organize information visually.,Discuss the different nodes and make sure there is a clear hierarchy of the items.,Visual representation of ideas that clearly displays all information gathered and how it relates to each other.,"Analyse the relations between the items.
Define the direction(s) to explore."
"
                      Mobile diary study                    ","
1. Gather your team and define the purpose of your study within the larger research question.
2. Decide on a group of individuals (between 5-10) you would like to study.
3. Make a plan of the type of data you want to collect, taking into account the moment that participants are more likely to submit it with the device.
4. Choose the most suitable platform and write out the automated messages to participants.
5. Make sure your participants are set up to make the entries, provide them with brief and clear instructions.
6. Follow the incoming data during the set period and x hiccups or technical problems in time.
7. Digest the data and set up a new team meeting in which you go through the most interesting data together.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-31-wpcf_120x120.png,1 WEEK - 2 WEEKS,know-user,research,This method is typically used at the beginning of the research process.,"Capture data and insights from an individual or group to assess actions, activities, timing of events, habits, behaviours and emotions.",Make sure the technology works well and is easy to use.,"People’s real-life experiences, in diary form.",Use the insights to identify interesting insights and adopt them in your project.
"
                      Moodboard                    ","
1. Collect magazines, images, materials, websites, anything that can be used as inspiration.
2. Select the items that are meaningful for the intention within the project, pictures, fabric, colors, feelings, etc.
3. Arrange the different items on a board/paper. Try to organize and structure the items as much as possible in a way that is meaningful to the design.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-08-wpcf_120x120.png,2 HOURS - 4 HOURS,frame-insights,create,After having an understanding of your users.,Summarizes the intended style of the design and facilitates decission making.,Its about what YOU think is related to the subject at hand.,"Moodboard that conveys a feeling of your design (in terms of general emotion, aesthetics, experience, etc.)","Validate the moodboard with stakeholders.
Use the moodboard as an input for your design."
"
                      Morphological chart                    ","
1. Define the design problem, this has to be de ned as clearly as possible.
2. Identify all the possible tasks and subtasks that are needed to tackle the design problem.
3. Write down all the tasks and subtasks within a matrix.
4. Go through all the different tasks/subtasks draw diagrams/sketches of ways that they could be solved. Draw as many ways to accomplish each of them as you can think of.
5. Generate design concepts by combining solutions from each row. Don’t only go for “safe” options, make weird combinations too!
6. Filter the ideas into the most promising ones (at least three).
7. Sketch/draw the top three solutions.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-47-wpcf_120x120.png,4 HOURS - 1 DAY,ideation-concept,create,After having a clear overview of the design problem and at the beginning of the ideation phase.,This method allows for a structured way to develop ideas systematically.,"Try to have as many subtasks as needed, for example you might want to subdivide a notification into “surprise”, “inform”, “gain user’s attention”.",Concepts developed by using a systematic method.,Select the most interesting ideas to develop further.
"
                      MoSCoW                    ","
1. List all the features that you want to develop within a specific time frame (for example a Sprint).
2. Make a diagram that has the four different categories “Must have”, “Should have”, “Could have”, or “Would like but won’t get”. Classify the features within the four categories.
3. “Must have” are features that are critical and need to be implemented to have a successful product.
4. “Should have” are features that are important but are not critical, they can be done in a different way.
5. “Could have” are features that would be nice to have, but won’t make a significant change in the user experience.
6. “Would like but won’t get” are features that are too difficult to implement.
7. Once the different features have been rated, plan accordingly by defining tasks.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/05/DMT_icons-50-wpcf_120x120.png,2 HOURS - 4 HOURS,define-intentions,create,At the beginning of a timeslot (for example during Sprint planning) and when planning is needed.,"Allows to make a clear hierarchy of what needs to be implemented, and what is not feasible to include within the current constraints.",Be realistic about what is actually needed and what is feasible to do.,A work plan that can be distributed among the design team.,"Follow and track the plan, make sure to communicate it clearly to the team."
